F0_01-0_1,F0_1-0_2,F0_2-0_5,F0_5-1,F1-2,F2-4,F4-8,F8-16,F16-25,F25-35,F35-50,F50-63,F63-75,F75-88,F88-105,F105-125,F125-150,F150-177,F177-210,F210-250,F250-300,F300-354,F354-420,F420-500,F500-600,F600-707,F707-850,F850-1000,F1000-1190,F1190-1410,F1410-1680,F1680-2000,Kf,lithoclass
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018985,0.113389,0.265496,0.436213,0.685025,0.911034,1.346532,1.872356,2.574096,2.97137,3.768754,4.668033,6.068147,7.150266,11.287353,13.837004,17.452339,14.944707,8.32808,1.300823,30.0,zg
0.0,0.0,0.0,0.0,0.0,0.195931,0.479376,0.26943,0.461848,0.489974,1.159039,1.757119,2.588258,3.841573,6.058107,7.439112,8.345015,7.178084,6.476699,5.778922,6.141341,6.195283,6.489233,5.889949,5.275891,4.764573,5.435264,4.228349,2.756834,0.304797,0.0,0.0,1.7,zm
0.0,0.0,0.0,0.0,0.0,0.093342,0.389536,0.264978,0.376978,0.430486,0.987247,1.505448,2.216856,3.3769,5.549405,7.129859,8.319286,7.330507,6.750074,6.198277,6.643288,6.589043,6.760933,6.028903,5.356324,4.833606,5.425491,4.142132,2.80339,0.487504,0.010207,0.0,0.3,zm
0.0,0.0,0.0,0.0,0.0,0.222474,0.503168,0.415419,0.446688,0.650029,1.276772,1.822357,2.546824,3.485331,5.164686,6.175329,7.01003,6.204076,5.789244,5.445856,6.160811,6.426158,6.852031,6.414104,6.047377,5.528947,6.246538,4.937744,3.588912,0.632858,0.006236,0.0,0.2299999999999999,zm
0.0,0.0,0.0,0.0,0.0,0.316252,0.637847,0.545304,0.51498,0.829259,1.849372,2.666304,3.508639,4.650889,6.670268,7.61739,8.152723,6.805218,6.091177,5.562712,6.059003,6.084507,6.260725,5.586021,4.886586,4.177874,4.459325,3.427339,2.360613,0.279676,0.0,0.0,0.33,zm
0.0,0.0,0.0,0.0,0.0,0.210566,0.462554,0.3292,0.430461,0.584788,1.4133,2.162687,2.9691,4.142859,6.263484,7.470606,8.186462,6.895427,6.231506,5.794211,6.470075,6.631017,6.89029,6.130518,5.30869,4.543169,4.840189,3.526502,1.957086,0.155253,0.0,0.0,0.34,zm
0.0,0.0,0.0,0.0,0.0,0.213859,0.475021,0.331792,0.428449,0.55528,1.429276,1.831248,2.626612,3.813795,5.81198,6.898019,7.666509,6.695709,6.239014,5.843349,6.494809,6.710598,7.105793,6.454621,5.658742,4.817605,5.181618,3.896886,2.53519,0.284227,0.0,0.0,0.39,zm
0.0,0.0,0.0,0.0,0.0,0.281521,0.605046,0.329723,0.505633,0.634562,1.406325,2.218284,3.091992,4.221286,6.183374,7.097781,7.451447,6.100307,5.445786,5.000713,5.591622,5.926536,6.508632,6.293556,6.121195,5.588199,5.933782,4.164058,2.521859,0.744773,0.032009,0.0,0.21,zm
0.0,0.0,0.0,0.0,0.0,0.226538,0.413703,0.369976,0.440469,0.506758,1.290835,1.796176,2.500676,3.522117,5.303994,6.317225,7.018914,6.074416,5.68052,5.449879,6.228771,6.523303,7.011178,6.616983,6.230363,5.516077,5.967764,4.572448,3.221453,1.146606,0.052857,0.0,0.21,zm
0.0,0.0,0.0,0.0,0.0,0.206079,0.355522,0.319394,0.340156,0.455182,1.092874,1.569084,2.264894,3.318779,5.210065,6.409907,7.251595,6.383958,6.119937,6.036186,6.908929,7.058559,7.404477,6.84692,6.273966,5.332625,5.454118,3.939876,2.592781,0.821571,0.032566,0.0,0.99,zm
0.0,0.0,0.0,0.0,0.0,0.199125,0.349691,0.306898,0.35842,0.422076,1.395933,1.979608,2.771587,4.026166,6.262206,7.577446,8.327129,7.067553,6.495446,6.097642,6.752092,6.835976,7.040736,6.196831,5.322426,4.420542,4.471407,3.15647,1.957245,0.209347,0.0,0.0,0.39,zm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074978,0.223872,0.45483,1.042445,2.14656,3.601644,5.446996,8.527563,10.453379,11.942983,10.552906,9.662208,8.274314,7.46837,5.891634,4.479947,2.370156,0.967213,1.135568,1.892905,1.820637,1.275615,0.271288,0.021989,0.0,2.3,zm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004618,0.221975,0.35673,1.019184,1.829849,2.950977,4.651362,7.758451,9.955529,11.342331,9.612616,8.579926,7.827258,8.260333,7.552714,6.550571,4.29566,2.457743,1.803311,1.749852,1.018114,0.200897,0.0,0.0,0.0,2.1,zm
0.0,0.0,0.0,0.0,0.0,0.493193,0.454326,0.726416,0.54875,1.117541,2.845827,6.647452,10.330301,14.261451,18.500829,17.297319,13.455519,6.938253,3.191538,0.950111,0.627089,0.973742,0.610508,0.029835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,zf
0.0,0.0,0.322519,2.279739,1.85064,4.931384,9.508311,17.791629,19.029793,15.63724,14.047176,6.529981,3.216933,2.013433,1.626095,0.949602,0.255988,0.009538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1e-05,kz
0.0,0.0,0.0,0.0,0.369572,0.515839,0.870696,1.146982,1.409286,1.994705,6.481468,12.531116,15.370093,16.432584,16.877812,11.429867,6.552132,2.680429,1.485331,0.920923,1.072068,1.245838,0.598278,0.014983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,zf
0.0,0.0,0.0,0.0,0.400621,0.597994,1.002315,1.306722,1.442642,1.746523,7.068149,13.531652,15.40913,15.635825,15.328637,10.609131,6.412021,3.354939,2.232034,1.324927,1.076215,1.096709,0.392178,0.031635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,zf
0.0,0.0,0.0,0.0,0.0,0.2172,0.502829,0.393948,0.414189,0.663489,1.341714,2.521909,5.470404,10.497644,17.510654,20.565455,19.034288,11.371563,5.37166,1.411178,0.789387,1.210336,0.690389,0.021765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,zf
0.0,0.0,0.0,0.0,0.0,0.233301,0.525916,0.48835,0.395114,0.651939,1.175571,2.066658,5.234745,9.466199,17.271295,20.540935,19.544103,12.002618,5.945984,1.691398,0.741036,1.097336,0.867474,0.060028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,zf
0.0,0.0,0.0,0.0,0.0,0.508992,0.487602,0.66516,0.477132,0.949558,1.701035,4.060749,8.227401,13.879881,20.146651,19.932194,15.340833,7.433833,3.210215,0.720057,0.378344,1.080599,0.759146,0.040618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,zf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613713,0.388973,0.668592,1.195212,1.584933,4.594339,10.545945,18.962667,22.605789,19.992792,10.862188,4.53444,0.94205,0.692676,1.322201,0.464953,0.028537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,zf
0.0,0.0,0.359937,2.316079,2.026594,5.310012,9.547599,16.337241,16.525547,14.224025,14.050932,7.601706,4.385476,3.016858,2.430315,1.395741,0.466402,0.005538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6e-06,kz
0.0,0.0,0.0,0.0,0.114321,0.28475,0.505275,0.568617,0.380094,0.366975,0.774077,1.87227,3.109213,4.659513,7.438366,9.684079,12.263875,12.246636,12.33791,10.641236,8.562714,5.866766,4.009574,1.498108,0.05134,0.036009,0.731845,0.670293,0.134725,0.0,0.451411,0.740009,1.1,zm
0.0,0.0,0.0,0.0,0.137449,0.420666,0.58706,0.620917,0.372038,0.345844,0.921714,2.870518,5.020219,7.522499,11.593137,13.925974,15.418082,13.039667,10.983384,7.509012,4.175806,1.858159,0.782354,0.069331,0.011766,0.515508,0.777266,0.443375,0.078255,0.0,0.0,0.0,2.3,zf
0.0,0.0,0.0,0.499006,0.017517,0.0,0.064145,0.0,0.0,0.013551,0.318779,0.610968,0.863738,1.245737,2.220012,3.734954,6.539423,8.790576,11.569634,13.173816,13.958031,11.822658,9.93338,6.363636,2.95573,1.291186,1.123989,0.532148,0.008746,0.125165,0.986545,1.23693,2.0,zm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086217,0.453053,0.643163,0.867005,1.670656,3.573282,7.774225,11.788876,16.169351,17.745302,16.249844,10.75931,6.660512,2.801095,0.618447,0.535221,0.766435,0.696161,0.141846,0.0,0.0,0.0,2.6,zm
0.0,0.0,0.0,0.0,0.101768,0.459187,0.728577,0.805521,0.47774,0.292061,0.244617,0.447569,0.920735,1.78357,3.908529,7.210661,12.549597,15.731895,18.150862,16.378334,11.656682,5.633966,2.370996,0.147132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,zm
0.0,0.0,0.0,0.0,0.26523,0.775712,1.210658,1.370004,0.782967,0.596189,0.647467,1.478129,3.595507,6.659365,11.661508,14.882394,16.709714,13.955237,11.361554,7.326601,3.911398,1.872218,0.886733,0.051415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,zf
0.0,0.0,0.496857,3.095885,3.285793,6.401519,9.527571,13.033379,11.008277,9.574948,10.511086,7.07942,5.595477,5.280904,5.443837,3.919811,2.117009,0.789668,0.722911,0.72315,0.62741,0.525665,0.215962,0.023461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-05,kz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024017,0.134462,0.255635,0.462771,1.231353,2.748997,5.641084,9.243709,12.965131,13.66855,14.600237,13.609061,11.125598,6.808311,4.515252,2.270701,0.656101,0.03903,0.0,0.0,9.0,zg
0.0,0.0,0.0,0.0,0.0,0.207311,0.408214,0.46315,0.286256,0.1617,0.061297,0.267572,0.215336,0.21713,0.860126,2.998359,7.438636,11.155963,14.565769,15.515731,15.035854,11.879292,9.469395,5.364982,1.456878,0.136344,0.740114,0.913295,0.181297,0.0,0.0,0.0,5.8,zm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136491,0.204836,0.219704,0.505568,1.659843,3.964016,7.789558,10.494313,13.416241,14.781305,15.008105,12.074616,9.56706,5.576223,2.041823,0.822344,1.037382,0.614405,0.086166,0.0,0.0,0.0,12.0,zm
0.0,0.0,0.30705,1.67178,1.856074,3.67731,5.399958,7.155298,5.465832,3.84542,3.280568,1.941003,1.437247,1.599622,2.482425,3.381869,4.651014,5.212394,6.246063,6.70465,6.893675,5.935993,5.296616,3.846767,2.397802,1.67238,2.049327,1.828562,1.357115,0.871116,0.871945,0.663126,1.1e-05,kz
